Perols.FCarl-LCE05
  longueur: 274
  position: -81
  fin: 193
  origine: -81
  terme: 193
VAL  Aj/C:  Perols.FCarl-LCE05
 , , , , , , 66 61 53 86
 , , , , , , , 140 51 119
 142 145 141 190 146 181 145 105 99 167
 175 140 76 71 108 116 120 91 86 155
 155 61 66 81 40 76 48 64 99 78
 75 97 59 88 57 55 73 179 184 204
 199 211 95 185 94 120 71 75 83 81
 61 191 111 89 55 52 54 24 33 80
 133 94 49 104 76 150 124 108 114 162
 85 58 47 10 46 82 36 79 141 109
 199 122 158 220 178 113 119 160 184 98
 139 138 185 189 148 151 119 90 44 37
 40 65 109 84 104 169 239 190 188 152
 92 130 121 80 162 108 44 1 31 68
 123 98 109 84 144 73 105 134 65 126
 163 116 79 154 158 81 100 111 115 133
 66 75 109 97 109 122 164 125 130 86
 62 71 93 122 117 106 119 77 17 11
 71 104 119 37 76 84 89 100 124 69
 73 101 100 98 106 44 65 82 104 168
 194 112 196 100 120 84 139 113 123 133
 107 144 112 129 111 93 151 95 69 139
 77 99 191 151 51 157 131 131 168 104
 132 86 148 53 33 131 56 56 105 168
 91 65 133 115 144 87 35 47 127 80
 61 109 84 25 90 117 154 114 98 118
 105 165 121 200 195 203 108 76 146 97
 135 28 73 12    ;
