Data downloaded from DendroDB. Please acknowledge authors
Site: Aktasch Valley 
Contact: Fritz H. Schweingruber
Species: Larix sibirica
Parameter: Earlywood width
Latitude: 50.25
Longitude: 87.35
Elevation: 2000
Tree Core Year Earlywood width
1 1 1648 78
1 1 1649 86
1 1 1650 50
1 1 1651 47
1 1 1652 32
1 1 1653 52
1 1 1654 36
1 1 1655 41
1 1 1656 33
1 1 1657 47
1 1 1658 32
1 1 1659 18
1 1 1660 14
1 1 1661 21
1 1 1662 7
1 1 1663 22
1 1 1664 30
1 1 1665 33
1 1 1666 13
1 1 1667 17
1 1 1668 2
1 1 1669 16
1 1 1670 10
1 1 1671 29
1 1 1672 24
1 1 1673 14
1 1 1674 23
1 1 1675 12
1 1 1676 30
1 1 1677 28
1 1 1678 26
1 1 1679 19
1 1 1680 30
1 1 1681 31
1 1 1682 42
1 1 1683 41
1 1 1684 20
1 1 1685 37
1 1 1686 61
1 1 1687 20
1 1 1688 26
1 1 1689 44
1 1 1690 71
1 1 1691 76
1 1 1692 60
1 1 1693 6
1 1 1694 57
1 1 1695 56
1 1 1696 34
1 1 1697 27
1 1 1698 13
1 1 1699 8
1 1 1700 21
1 1 1701 33
1 1 1702 36
1 1 1703 36
1 1 1704 38
1 1 1705 39
1 1 1706 34
1 1 1707 49
1 1 1708 61
1 1 1709 27
1 1 1710 23
1 1 1711 29
1 1 1712 52
1 1 1713 58
1 1 1714 78
1 1 1715 65
1 1 1716 88
1 1 1717 69
1 1 1718 67
1 1 1719 65
1 1 1720 68
1 1 1721 42
1 1 1722 76
1 1 1723 53
1 1 1724 60
1 1 1725 101
1 1 1726 83
1 1 1727 66
1 1 1728 79
1 1 1729 75
1 1 1730 42
1 1 1731 65
1 1 1732 57
1 1 1733 34
1 1 1734 60
1 1 1735 56
1 1 1736 56
1 1 1737 57
1 1 1738 67
1 1 1739 87
1 1 1740 93
1 1 1741 74
1 1 1742 56
1 1 1743 60
1 1 1744 54
1 1 1745 48
1 1 1746 51
1 1 1747 58
1 1 1748 53
1 1 1749 67
1 1 1750 50
1 1 1751 61
1 1 1752 63
1 1 1753 75
1 1 1754 43
1 1 1755 62
1 1 1756 83
1 1 1757 57
1 1 1758 53
1 1 1759 67
1 1 1760 23
1 1 1761 37
1 1 1762 54
1 1 1763 69
1 1 1764 41
1 1 1765 42
1 1 1766 46
1 1 1767 29
1 1 1768 20
1 1 1769 16
1 1 1770 24
1 1 1771 24
1 1 1772 27
1 1 1773 40
1 1 1774 35
1 1 1775 27
1 1 1776 32
1 1 1777 54
1 1 1778 54
1 1 1779 26
1 1 1780 38
1 1 1781 48
1 1 1782 60
1 1 1783 50
1 1 1784 45
1 1 1785 43
1 1 1786 56
1 1 1787 65
1 1 1788 31
1 1 1789 48
1 1 1790 56
1 1 1791 62
1 1 1792 68
1 1 1793 52
1 1 1794 29
1 1 1795 30
1 1 1796 33
1 1 1797 39
1 1 1798 40
1 1 1799 42
1 1 1800 44
1 1 1801 50
1 1 1802 46
1 1 1803 62
1 1 1804 58
1 1 1805 63
1 1 1806 86
1 1 1807 68
1 1 1808 65
1 1 1809 69
1 1 1810 76
1 1 1811 79
1 1 1812 84
1 1 1813 53
1 1 1814 40
1 1 1815 55
1 1 1816 44
1 1 1817 49
1 1 1818 46
1 1 1819 23
1 1 1820 29
1 1 1821 47
1 1 1822 38
1 1 1823 39
1 1 1824 45
1 1 1825 45
1 1 1826 57
