CHARLPLAMR  1768   1  34   1  64   1  52   1   8   1  60   1 364   1 571-999-999   1PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1769   1  33   1  57   1  34   1  11   1  45   1 364   1 506-999-999   2PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1770   1  31   1  50   1  30   1   8   1  38   1 344   1 465-999-999   3PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1771   1  32   1  60   1  33   1   8   1  41   1 356   1 538-999-999   4PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1772   1  32   1  60   1  38   1   7   1  45   1 349   1 544-999-999   5PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1773   1  32   1  62   1  59   1   7   1  66   1 362   1 548-999-999   6PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1774   1  33   1  71   1  45   1   8   1  53   1 364   1 630-999-999   7PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1775   1  33   1  55   1  36   1  14   1  50   1 354   1 488-999-999   8PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1776   1  36   1  69   1  47   1  12   1  59   1 394   1 618-999-999   9PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1777   1  34   1  61   1  50   1   9   1  59   1 372   1 562-999-999  10PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1778   1  34   1  56   1  32   1   9   1  41   1 363   1 518-999-999  11PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1779   1  33   1  73   1  42   1  13   1  55   1 377   1 643-999-999  12PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1780   1  33   1  61   1  32   1  11   1  43   1 369   1 541-999-999  13PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1781   1  32   1  62   1  41   1  24   1  65   1 358   1 533-999-999  14PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1782   1  34   1  73   1  45   1  18   1  63   1 397   1 643-999-999  15PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1783   1  38   1  73   1  21   1  11   1  32   1 436   1 654-999-999  16PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1784   1  34   1  55   1  34   1  12   1  46   1 372   1 501-999-999  17PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1785   2  46   2  77   2  20   2  12   2  32   2 493   2 711-999-999  18PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1786   2  45   2  76   2  18   2  10   2  28   2 497   2 691-999-999  19PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1787   2  45   2  76   2  26   2   9   2  34   2 493   2 679-999-999  20PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1788   2  46   2  75   2  18   2   9   2  26   2 500   2 689-999-999  21PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1789   2  48   2  80   2  16   2   8   2  24   2 520   2 743-999-999  22PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1790   2  47   2  74   2  21   2  14   2  35   2 509   2 677-999-999  23PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1791   2  45   2  70   2  19   2   9   2  27   2 475   2 649-999-999  24PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1792   2  48   2  70   2  10   2   7   2  17   2 512   2 659-999-999  25PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1793   2  47   2  74   2  19   2  10   2  29   2 506   2 676-999-999  26PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1794   2  44   2  70   2  23   2   8   2  31   2 476   2 650-999-999  27PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1795   2  45   2  75   2  22   2  15   2  37   2 504   2 698-999-999  28PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1796   2  45   2  78   2  26   2  12   2  38   2 510   2 730-999-999  29PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1797   2  41   2  74   2  26   2  12   2  38   2 453   2 674-999-999  30PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1798   2  40   2  68   2  29   2  13   2  42   2 444   2 621-999-999  31PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1799   2  40   2  73   2  37   2  10   2  47   2 439   2 644-999-999  32PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1800   3  40   3  79   3  43   3  18   3  61   3 452   3 705-999-999  33PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1801   3  39   3  77   3  45   3  11   3  56   3 438   3 690-999-999  34PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1802   3  38   3  75   3  35   3   9   3  44   3 420   3 686-999-999  35PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1803   3  39   3  76   3  34   3  13   3  47   3 436   3 685-999-999  36PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1804   3  37   3  77   3  36   3  11   3  47   3 421   3 695-999-999  37PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1805   3  36   3  75   3  42   3  12   3  54   3 409   3 677-999-999  38PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1806   3  38   3  74   3  41   3  14   3  55   3 423   3 672-999-999  39PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1807   3  38   3  81   3  40   3  13   3  53   3 429   3 721-999-999  40PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1808   3  36   3  77   3  38   3   9   3  47   3 407   3 687-999-999  41PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1809   3  43   3  77   3  18   3   7   3  25   3 466   3 719-999-999  42PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1810   3  38   3  75   3  34   3  10   3  44   3 426   3 673-999-999  43PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1811   3  38   3  68   3  25   3  24   3  49   3 441   3 612-999-999  44PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1812   3  38   3  64   3  38   3  10   3  48   3 417   3 588-999-999  45PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1813   3  39   3  71   3  32   3  10   3  42   3 425   3 663-999-999  46PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1814   3  38   3  78   3  33   3   8   3  41   3 427   3 707-999-999  47PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1815   3  40   3  59   3  37   3  11   3  48   3 407   3 549-999-999  48PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1816   3  38   3  79   3  29   3  11   3  39   3 457   3 661-999-999  49PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1817   3  42   3  59   3  32   3  14   3  46   3 470   3 546-999-999  50PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1818   3  41   3  73   3  24   3  11   3  35   3 452   3 668-999-999  51PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1819   3  35   3  57   3  33   3  11   3  44   3 388   3 534-999-999  52PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1820   3  36   3  78   3  34   3  14   3  48   3 414   3 697-999-999  53PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1821   3  35   3  71   3  37   3  12   3  49   3 399   3 632-999-999  54PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1822   3  35   3  73   3  38   3  13   3  51   3 407   3 658-999-999  55PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1823   3  35   3  64   3  38   3  11   3  49   3 396   3 576-999-999  56PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1824   3  36   3  68   3  34   3   9   3  44   3 408   3 613-999-999  57PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1825   3  36   3  73   3  33   3  11   3  44   3 401   3 656-999-999  58PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1826   3  35   3  69   3  37   3  10   3  47   3 395   3 617-999-999  59PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1827   4  38   4  69   4  35   4  13   4  48   4 420   4 635-999-999  60PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1828   4  34   4  75   4  53   4  15   4  68   4 406   4 667-999-999  61PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1829   4  35   4  73   4  51   4  11   4  62   4 401   4 657-999-999  62PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1830   4  35   4  72   4  47   4  11   4  57   4 402   4 661-999-999  63PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1831   4  35   4  70   4  39   4   8   4  47   4 393   4 626-999-999  64PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1832   4  35   4  56   4  40   4  11   4  51   4 382   4 511-999-999  65PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1833   4  36   4  57   4  41   4   8   4  49   4 396   4 524-999-999  66PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1834   4  35   4  67   4  40   4   9   4  49   4 386   4 606-999-999  67PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1835   4  36   4  76   4  33   4   9   4  42   4 410   4 672-999-999  68PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1836   4  38   4  60   4  26   4   8   4  34   4 431   4 554-999-999  69PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1837   4  43   4  69   4   8   4   9   4  17   4 476   4 634-999-999  70PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1838   5  37   5  62   5  18   5   9   5  27   5 407   5 560-999-999  71PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1839   5  35   5  69   5  17   5   6   5  22   5 395   5 619-999-999  72PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1840   5  38   5  66   5  18   5   6   5  24   5 420   5 612-999-999  73PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1841   5  38   5  73   5  21   5   7   5  28   5 438   5 656-999-999  74PCMA0197Charlie Lake, CDN  832  
CHARLPLAMR  1842   7  39   7  70   7  22   7  13   7  35   7 432   7 639-999-999  75PCMA0197Charlie Lake, CDN  832  
