ABAL,Abies alba Mill.
ABAM,Abies amabilis Douglas ex J. Forbes
ABBA,Abies balsamea (L.) Mill.
ABBN,Abies nordmanniana subsp. equi-trojani (Asch. & Sint. ex Boiss.) Coode & Cullen
ABBO,Abies borisii-regis Mattf.
ABBR,Abies bracteata (D. Don) A. Poit.
ABCE,Abies cephalonica Loudon
ABCH,Abies chensiensis Tiegh.
ABCI,Abies cilicica (Antoine & Kotschy) Carriäre
ABCO,Abies concolor (Gordon) Lindl. ex Hildebr.
ABEQ,Abies nordmanniana subsp. equi-trojani (Asch. & Sint. ex Boiss.) Coode & Cullen
ABFI,Abies firma Siebold & Zucc.
ABFO,Abies forrestii Coltm.-Rog.
ABFR,Abies fraseri (Pursh) Poir.
ABFX,Abies fargesii var. faxoniana (Rehd. & E. H. Wilson) Tang S. Liu
ABGR,Abies grandis (Douglas ex D. Don) Lindl.
ABHO,Abies holophylla Maxim.
ABKA,Abies kawakamii (Hayata) T. Itì
ABKO,Abies koreana E. H. Wilson
ABLA,Abies lasiocarpa (Hook.) Nutt.
ABMA,Abies magnifica A. Murray bis
ABMC,Abies pinsapo var. marocana (Trab.) Ceballos & Bola§o
ABMR,Abies mariesii Mast.
ABNB,Abies nebrodensis (Lojac.) Mattei
ABNE,Abies nephrolepis (Trautv. ex Maxim.) Maxim.
ABNO,Abies nordmanniana (Steven) Spach
ABNU,Abies numidica de Lannoy ex Carriäre
ABPI,Abies pindrow (Royle ex D. Don) Royle
ABPN,Abies pinsapo Boiss.
ABPR,Abies procera Rehd.
ABRC,Abies recurvata Mast.
ABRE,Abies religiosa (Kunth) Schltdl. & Cham.
ABSA,Abies sachalinensis (F. Schmidt) Mast.
ABSB,Abies spectabilis (D. Don) Mirb.
ABSI,Abies sibirica Ledeb.
ABSP,Abies
ABSQ,Abies squamata Mast.
ABVI,Abies veitchii Lindl.
ACAL,Acacia alpina F.Muell.
ACCA,Acacia catechu (L.f.)Willd.
ACCA,Acer campestre L.
ACGI,Acacia erioloba E.Mey.
ACHO,Acacia howittii F.Muell.
ACME,Acacia melanoxylon R.Br.
ACMO,Acer mono
ACNE,Acer negundo L.
ACNI,Acacia nilotica (L.)Delile
ACOP,Acer opalus
ACPE,Acer pensylvanicum L.
ACPL,Acer platanoides L.
ACPS,Acer pseudoplatanus L.
ACRA,Acacia tortilis subsp. raddiana (Savi)Brenan
ACRU,Acer rubrum L.
ACSA,Acer saccharinum L.
ACSC,Acer spicatum Lam.
ACSH,Acer saccharum Marsh.
ACSP,Acer
ACTU,Acer turkestanica
ADDI,Adansonia digitata L.
ADFA,Adenostoma fasciculatum Hook. & Arn.
ADHO,Adesmia horrida Hook. & Arn.
ADUS,Adesmia uspallatensis Hook. & Arn.
AEHI,Aesculus hippocastanum L.
AEPU,Aextoxicon punctatum
AFAF,Afzelia africana Pers.
AFQU,Afzelia quanzensis Welw.
AGAU,Agathis australis (D. Don) Lindl.
AGMA,Agathis macrophylla (Lindl.) Mast.
AGMO,Agathis moorei (Lindl.) Mast.
AGOV,Agathis ovata (Vieill.) Warb.
AGPA,Agathis robusta (C. Moore ex F. Muell.) F. Muell.
AGRO,Agathis robusta (C. Moore ex F. Muell.) F. Muell.
AGVI,Agathis macrophylla (Lindl.) Mast.
AIAL,Ailanthus altissima (P. Mill.) Swingle
ALCR,Alnus viridis subsp. crispa (Aiton) Turrill
ALGL,Alnus glutinosa (L.) Gaertn.
ALHI,Alnus hirsuta (Spach) Rupr.
ALIN,Alnus incana (L.) Moench
ALMA,Alnus maximowiczii Callier
ALRG,Alnus serrulata (Aiton) Willd.
ALRH,Alnus rhombifolia Nutt.
ALRU,Alnus rubra Bong.
ALSE,Alnus serrulata (Aiton) Willd.
ALSI,Alnus viridis subsp. sinuata (Regel) µ.Lîve & D.Lîve
ALSP,Alnus
ALVE,Allocasuarina verticillata (Lam.) L.A.S. Johnson
ALVI,Alnus viridis (Chaix) DC.
AMLU,Amomyrtus luma (Molina) D.Legrand & Kausel
AMOV,Amelanchier ovalis Medik.
AMSP,Amelanchier
ANCO,Andira coriacea Pulle
ANSP,Annona spraguei Saff.
ARAN,Araucaria angustifolia (Bertol.) Kuntze
ARAR,Araucaria araucana (Molina) K. Koch
ARBI,Araucaria bidwillii Hook.
ARCU,Araucaria cunninghamii Aiton ex A. Cunn.
ARGL,Arctostaphylos glauca Lindl.
ARHE,Araucaria heterophylla (Salisb.) Franco
ARHU,Araucaria hunsteinii K. Schum.
ARTR,Artemisia tridentata Nutt.
ATCU,Athrotaxis cupressoides
ATSE,Athrotaxis selaginoides D. Don
AUCH,Austrocedrus chilensis (D. Don) Pic. Serm. & Bizzarri
AUKL,Aucoumea klaineana
BAAE,Balanites aegyptiaca (L.) Del.
BBVU,Berberis vulgaria
BEAB,Betula albosinensis Burkill
BEAK,Betula neoalaskana Sarg.
BEAL,Betula alleghaniensis Britton
BEER,Betula ermanii Cham.
BEGL,Betula glandulosa Michx.
BEGR,Betula grossa Siebold & Zucc.
BELE,Betula lenta L.
BENI,Betula nigra L.
BEPA,Betula papyrifera Marshall
BEPE,Betula pendula Roth
BEPL,Betula platyphylla Sukaczev
BEPO,Betula populifolia Marshall
BEPU,Betula pubescens Ehrh.
BESP,Betula
BEUT,Betula utilis D.Don
BEVE,Betula pendula var. pendula
BLTA,Beilschmiedia tawa
BOMA,Bombax ceiba L.
BOQU,Bombacopsis quinata
BTEX,Bertholletia excelsa Bonpl.
BUGR,Bursera graveolens
BUSE,Buxus sempervirens L.
BUSI,Bursera simaruba (L.) Sarg.
CABU,Afrocanthium burttii (Bullock) Lantz
CACO,Callitris columellaris F. Muell.
CACR,Castanea crenata Siebold & Zucc.
CADE,Calocedrus decurrens (Torr.) Florin
CADN,Castanea dentata (Marshall) Borkh.
CAGL,Caryocar glabrum
CAIN,Callitris columellaris F. Muell.
CAMA,Callitris macleayana (F. Muell.) F. Muell.
CAPC,Carapa procera
CAPR,Callitris preissii Miq.
CARO,Callitris preissii Miq.
CASA,Castanea sativa Mill.
CASC,Capparis scabrida
CASP,Callitris
CDAT,Cedrus atlantica (Endl.) Manetti ex Carriäre
CDBR,Cedrus libani var. brevifolia Hook. f.
CDDE,Cedrus deodara (Roxb.) G. Don
CDLI,Cedrus libani A. Rich.
CDSP,Cedrus
CEAN,Cedrela angustifolia
CEFI,Cedrela fissilis
CELI,Cedrela lilloi
CEMI,Cercidium microphyllum (Torr.)Rose & I.M.Johnst.
CEOC,Cephalanthus occidentalis L.
CEOD,Cedrela odorata L.
CESP,Cedrela
CETO,Cedrela toona
CHFO,Chamaecyparis formosensis Matsum.
CHNO,Xanthocyparis nootkatensis (D. Don) Farjon & Harder
CHOB,Chamaecyparis obtusa (Siebold & Zucc.) Endl.
CHPI,Chamaecyparis pisifera (Siebold & Zucc.) Endl.
CHSP,Chorisia speciosa
CHTH,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb."
CIFR,Citharexylum fruticosum L.
CLAU,Celtis australis L.
CLCA,Celtis caucasica
CLEX,Chlorophora excelsa (Welw.) Benth.
CLLA,Celtis laevigata Willd.
CLOC,Celtis occidentalis L.
CLRE,Celtis laevigata var. reticulata (Torr.) L. Benson
CLSP,Celtis
CMJA,Cryptomeria japonica (Thunb. ex L. f.) D. Don
CNCR,Ceanothus crassifolius Torr.
COAL,Cordia alliodora (Ruiz & Pav¢n) Oken
COAP,Cordia apurensis
COAV,Corylus avellana L.
COBI,Cordia bicolor
COCO,Guibourtia coleosperma (Benth.)Leonard
COEL,Cordia elaeagnoides
COFL,Cornus florida L.
CONI,Pinophyta
COSA,Cornus sanguinea L.
COSI,Corylus sieboldiana Blume
COSP,Cornus
COTR,Cordia trichotoma
CPBE,Carpinus betulus L.
CRAZ,Crataegus azarolus
CRBE,Cercocarpus betuloides
CRLE,Cercocarpus ledifolius Nutt. ex Torr. & A.Gray
CRMO,Cercocarpus montanus Raf.
CRMO,Crataegus monogyna
CRSP,Cercocarpus
CSLI,Casuarina litoralis
CTCO,Cotinus coggygria Scop.
CTSP,Cotoneaster
CTSP,Catalpa speciosa (Warder) Warder ex Engelm.
CUAT,Cupressus dupreziana var. atlantica (Gaussen) Silba
CUAZ,Cupressus arizonica Greene
CUDU,Cupressus dupreziana A. Camus
CUGI,Cupressus torulosa var. gigantea (W. C. Cheng & L. K. Fu) Farjon
CUGL,Cupressus arizonica var. glabra (Sudw.) Little
CULU,Cupressus lusitanica Mill.
CUSE,Cupressus sempervirens L.
CYCO,Carya cordoformis
CYGL,Carya glabra (P. Mill.) Sweet
CYIL,Carya illinoensis
CYOV,Carya ovata (P. Mill.) K. Koch
CYRA,Cyrilla racemiflora L.
CYSP,Carya
CYTO,Carya alba (L.) Nutt. ex Ell.
DABD,Halocarpus bidwillii (Hook. f. ex Kirk) Quinn
DABI,Halocarpus biformis (Hook.) Quinn
DACO,Manoao colensoi (Hook.) Molloy
DACU,Dacrydium cupressinum Sol. ex G. Forst.
DADA,Dacrycarpus dacrydioides (A. Rich.) de Laub.
DAFR,Lagarostrobos franklinii (Hook. f.) Quinn
DIGU,Dicorynia guianensis Amshoff
DITO,Discaria toumatou
DITR,Discaria trinervis
DRLA,Dracophyllum latifolium
DRWI,Drimys winteri Forster & Forster f.
DSVI,Diospyros virginiana L.
DUVI,Duschenkia viridis
DYMA,Dysoxylum malabaricum
ELGL,Elaeoluma glabrascens
EMRU,Empetrum rubrum
ENAN,Entandrophragma angolense
ENCA,Enkianthus campanulatus
ENCA,Entandrophragma candollei
ENCY,Entandrophragma cylindricum
ENUT,Entandrophragma utile
EUCA,Eucalyptus camaldulensis Dehnh.
EUCO,Eucryphia cordifolia
EUDE,Eucalyptus delegatensis R. Baker
EUGL,Eucalyptus globulus Labill.
EUJA,Eugenia jambolana
EUMA,Eucalyptus marginata Donn ex Sm.
EUMI,Eucalyptus miniata A. Cunn. ex Schauer
EUNE,Corymbia nesophila (Blakely) K.D. Hill & L.A.S Johnson
EUOR,Eucalyptus oreades R. Baker
EUPA,Eucalyptus pauciflora Sieber ex Sprengel
EUST,Eucalyptus stellulata Sieber ex DC.
EUTE,Eucalyptus tetradonta
EUVI,Eucalyptus viminalis Labill.
EXCU,Exocarpus cuppressiforme
FACR,Fagus crenata Blume
FAGR,Fagus grandifolia Ehrh.
FAOR,Fagus orientalis Lipsky
FASP,Fagus
FASY,Fagus sylvatica L.
FCSP,Ficus L.
FICU,Fitzroya cupressoides (Molina) I. M. Johnst.
FRAM,Fraxinus americana L.
FRCA,Fraxinus caroliniana P. Mill.
FREX,Fraxinus excelsior L.
FRMA,Fraxinus mandshurica
FRNI,Fraxinus nigra Marsh.
FRPE,Fraxinus pennsylvanica Marsh.
FRSP,Fraxinus
FRSP,Fraxinus spaethiana
FRVE,Fraxinus velutina Torr.
GEAV,Gevuina avellana
GIBI,Gingko biloba
GLTR,Gleditsia triacanthos L.
GMAR,Gmelina arborea Roxb.
GOGL,Goupia glabra
GOLA,Gordonia lasianthus (L.) Ellis
GRVI,Grevillea victoriae
GUCE,Guarea cedrata
HABD,Halocarpus bidwillii (Hook. f. ex Kirk) Quinn
HABI,Halocarpus biformis (Hook.) Quinn
HAKI,Halocarpus kirkii (F. Muell. ex Parl.) Quinn
HAVI,Hamamelis virginiana L.
HEAN,Hedycaria angustifolia
HEAR,Heteromeles arbutifolia
HEBR,Hevea brasiliensis (Willd. ex A.Juss.) MÅll.Arg.
ILAQ,Ilex aquifolium L.
ILCA,Ilex cassine L.
ILCO,Ilex coriacea (Pursh) Chapman
ILGL,Ilex glabra (L.) Gray
ILIN,Ilex inundata
ILOP,Ilex opaca Ait.
JACO,Jacaranda copaia
JGAU,Juglans australis
JGCI,Juglans cinerea L.
JGNI,Juglans nigra L.
JGRE,Juglans regia L.
JUCH,Juniperus chinensis L.
JUCO,Juniperus communis L.
JUDE,Juniperus deppeana Steud.
JUDR,Juniperus drupacea Labill.
JUEX,Juniperus excelsa M.-Bieb.
JUFO,Juniperus foetidissima Willd.
JUMA,Juniperus excelsa subsp. polycarpos (K. Koch) Takht.
JUMO,Juniperus monosperma (Engelm.) Sarg.
JUOC,Juniperus occidentalis Hook.
JUOS,Juniperus osteosperma (Torr.) Little
JUOX,Juniperus oxycedrus L.
JUPC,Juniperus procera Hochst. ex Endl.
JUPH,Juniperus phoenicea L.
JUPI,Juniperus pinchotii Sudw.
JUPR,Juniperus przewalskii Kom.
JURE,Juniperus recurva Buch.-Ham. ex D. Don
JUSC,Juniperus scopulorum Sarg.
JUSE,Juniperus excelsa subsp. polycarpos (K. Koch) Takht.
JUSM,Juniperus semiglobosa Regel
