Data downloaded from DendroDB. Please acknowledge authors
Site: Aktasch Valley 
Contact: Fritz H. Schweingruber
Species: Larix sibirica
Parameter: Max. Density
Latitude: 50.25
Longitude: 87.35
Elevation: 2000
Tree Core Year Max. Density
1 1 1648 81
1 1 1649 67
1 1 1650 79
1 1 1651 76
1 1 1652 78
1 1 1653 85
1 1 1654 84
1 1 1655 86
1 1 1656 89
1 1 1657 85
1 1 1658 59
1 1 1659 75
1 1 1660 79
1 1 1661 78
1 1 1662 66
1 1 1663 83
1 1 1664 79
1 1 1665 74
1 1 1666 63
1 1 1667 58
1 1 1668 55
1 1 1669 68
1 1 1670 62
1 1 1671 82
1 1 1672 70
1 1 1673 63
1 1 1674 68
1 1 1675 55
1 1 1676 79
1 1 1677 84
1 1 1678 83
1 1 1679 74
1 1 1680 82
1 1 1681 76
1 1 1682 79
1 1 1683 71
1 1 1684 69
1 1 1685 78
1 1 1686 88
1 1 1687 80
1 1 1688 77
1 1 1689 81
1 1 1690 87
1 1 1691 88
1 1 1692 84
1 1 1693 53
1 1 1694 84
1 1 1695 63
1 1 1696 80
1 1 1697 79
1 1 1698 59
1 1 1699 49
1 1 1700 69
1 1 1701 94
1 1 1702 83
1 1 1703 85
1 1 1704 89
1 1 1705 91
1 1 1706 86
1 1 1707 83
1 1 1708 88
1 1 1709 65
1 1 1710 78
1 1 1711 83
1 1 1712 86
1 1 1713 91
1 1 1714 84
1 1 1715 93
1 1 1716 75
1 1 1717 77
1 1 1718 78
1 1 1719 82
1 1 1720 71
1 1 1721 73
1 1 1722 79
1 1 1723 80
1 1 1724 76
1 1 1725 82
1 1 1726 83
1 1 1727 76
1 1 1728 78
1 1 1729 74
1 1 1730 78
1 1 1731 72
1 1 1732 72
1 1 1733 66
1 1 1734 76
1 1 1735 73
1 1 1736 79
1 1 1737 77
1 1 1738 74
1 1 1739 79
1 1 1740 75
1 1 1741 79
1 1 1742 76
1 1 1743 74
1 1 1744 73
1 1 1745 66
1 1 1746 79
1 1 1747 80
1 1 1748 75
1 1 1749 80
1 1 1750 81
1 1 1751 83
1 1 1752 86
1 1 1753 85
1 1 1754 78
1 1 1755 75
1 1 1756 83
1 1 1757 76
1 1 1758 77
1 1 1759 77
1 1 1760 58
1 1 1761 77
1 1 1762 79
1 1 1763 80
1 1 1764 72
1 1 1765 72
1 1 1766 80
1 1 1767 62
1 1 1768 56
1 1 1769 49
1 1 1770 64
1 1 1771 75
1 1 1772 64
1 1 1773 73
1 1 1774 76
1 1 1775 71
1 1 1776 69
1 1 1777 80
1 1 1778 81
1 1 1779 68
1 1 1780 76
1 1 1781 78
1 1 1782 85
1 1 1783 67
1 1 1784 78
1 1 1785 76
1 1 1786 80
1 1 1787 87
1 1 1788 68
1 1 1789 70
1 1 1790 72
1 1 1791 78
1 1 1792 82
1 1 1793 76
1 1 1794 59
1 1 1795 78
1 1 1796 76
1 1 1797 75
1 1 1798 74
1 1 1799 73
1 1 1800 71
1 1 1801 74
1 1 1802 78
1 1 1803 81
1 1 1804 73
1 1 1805 73
1 1 1806 82
1 1 1807 79
1 1 1808 76
1 1 1809 72
1 1 1810 70
1 1 1811 76
1 1 1812 70
1 1 1813 74
1 1 1814 77
1 1 1815 69
1 1 1816 77
1 1 1817 78
1 1 1818 71
1 1 1819 68
1 1 1820 68
1 1 1821 77
1 1 1822 75
1 1 1823 77
1 1 1824 75
1 1 1825 76
1 1 1826 73
